序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置
509,高雄市三民區,鼎西里,金鼎路81號,120.32672,22.663103,高雄市立三民高級中學,鼎西里、本和里,886,"水災,震災,土石流,海嘯",蔡仁榮主任,3475181#831,是,否,否
514,高雄市左營區,新下里,高雄市左營區裕誠路1102號,120.300608,22.666009,高雄市立三民高級家事商業職業學校,新下里,1018,"水災,震災,土石流,海嘯",歐陽偉堅事務組長,5525887#182,是,否,否
515,高雄市鳥松區,鳥松里,松埔北巷5之1號,120.371072,22.666471,高雄市立鳥松國民中學,鳥松、夢裡、?埔,844,"水災,震災,土石流,海嘯",總務主任袁小惠,7323977#31,是,否,否
516,高雄市三民區,鼎中里,鼎力路125-1號地下1樓,120.3217,22.6667,"鼎中,鼎力,鼎膝,鼎金,鼎強,鼎盛聯合里",鼎中、鼎力、鼎西、鼎金、鼎強、鼎盛里,400,"水災,震災,土石流,海嘯",林國石,3421318,是,否,是
524,高雄市鼓山區,龍水里,美術東二路252號,120.2848,22.6691,高雄市鼓山區中山國民小學,鼓峰、雄峰、前峰、民族、自強、龍水里,1364,"水災,震災,土石流,海嘯",總務主任,5505850,是,否,是
531,高雄市三民區,鼎金里,武功巷52號,120.3314,22.6718,和平營區,如需進行異地收容安置方才啟用，視情況調度收容對象,200,"水災,震災,土石流,海嘯",社會局救助科-林宗德股長,3368333轉2063,是,否,是
532,高雄市左營區,新下里,南屏路1號,120.295103,22.672458,高雄市左營區勝利國民小學,新下里,500,"水災,震災,土石流,海嘯",陳麗卿,5522541#732,否,否,是
533,高雄市三民區,鼎強里,鼎金後路495號,120.3224,22.6726,高雄市三民區獅湖國民小學,鼎強里、鼎西里、鼎力里、鼎盛里、鼎金里,1582,"水災,震災,土石流,海嘯",林郁為總務主任,3424782#6031,是,否,是
535,臺東縣綠島鄉,中寮村,臺東縣綠島鄉9鄰中寮4號,121.4701,22.6731,綠島國中,中寮村,200,"水災,震災,土石流",韓秉翃,（089）672506#11,是,否,是
536,臺東縣綠島鄉,中寮村,中寮1鄰3號,121.4699,22.6737,綠島國民小學,中寮村,200,"水災,震災,土石流",林麗菁,（089）672543#13,是,否,是
537,高雄市左營區,埤東里,翠華路687號,120.2928,22.6742,高雄市立大義國民中學,海勝、果貿、埤東里,50,"水災,震災,土石流,海嘯",蘇主任淑暖,5820191#10,是,否,是
539,高雄市左營區,自助里,左營大路1號,120.2856,22.6752,高雄市立海青高級工商職業學校,崇實、自助、果峰、果惠里,100,"水災,震災,土石流,海嘯",顧斌主任,5819155#501,是,否,是
542,高雄市大樹區,井腳里,井腳路118號,120.4074,22.6757,崇聖殿備用,全區調度備用,200,"水災,震災,土石流,海嘯",余清風,6513235,是,否,是
544,臺東縣綠島鄉,公?村,公館98號,121.4848,22.6764,公館國民小學,公館村,200,"水災,震災,土石流",鍾文惠,（089）672548#12,是,否,是
545,高雄市左營區,菜公里,自由三路478號,120.313158,22.676691,高雄市左營區新民國民小學,菜公里,921,"水災,震災,土石流,海嘯",鄭欽元總務主任,3411888#731,否,否,是
549,屏東縣長治鄉,新潭村,潭頭路50號,120.5261,22.6772,長興國小,長興村、進興村、潭頭村、新潭村、香楊村,200,"水災,震災,土石流,海嘯",邱坤玉,7368567,是,否,是
554,高雄市左營區,新光里,高雄市左營區曾子路281號,120.306724,22.679456,高雄市立左營國民中學,新光里、尾北里,836,"水災,震災,土石流,海嘯",謝秀吟總務主任,3433080#311,是,否,否
556,高雄市左營區,新光里,華夏路800號,120.304805,22.67983,高雄市左營區新光國民小學,新光里,200,"水災,震災,土石流,海嘯",許主任志良,3438577,是,否,是
558,高雄市左營區,埤西里,左營大路6巷81號3樓,120.289652,22.680335,埤子頭鎮福廟,埤西、埤北里,30,"水災,震災,土石流,海嘯",陳主委正雄,5825439,是,否,是
563,高雄市左營區,城南里,店仔頂路1號,120.290474,22.682196,舊城城隍廟,城南里,30,"水災,震災,土石流,海嘯",李主委榮宗,5832356,是,否,是
564,高雄市左營區,廟東里,左營大路87號,120.288158,22.682521,左營元帝廟,中南、中北、廟東里,40,"水災,震災,土石流,海嘯",郭主委錦彬,5856961,是,否,是
566,高雄市左營區,聖西里,蓮潭路47號,120.293004,22.683177,高雄市左營區舊城國民小學,聖西里、中南里、聖后里、聖南里、城南里、埤東里,582,"水災,震災,土石流,海嘯",曾主任望超,5810017#31,是,否,是
567,高雄市左營區,菜公里,高雄市左營區重愛路99號,120.317215,22.683573,高雄市左營區福山國民小學,菜公里,1273,"水災,震災,土石流,海嘯",徐盛旺總務主任,3487633#311,是,否,否
570,高雄市左營區,路東里,?後街42巷2號,120.288708,22.685509,左營揚善堂,?北、?南、路東里,100,"水災,震災,土石流,海嘯",薛主委藤雄,5818879,是,否,是
573,高雄市左營區,?北里,蓮潭路158號,120.296399,22.687113,天府宮,廟北里,30,"水災,震災,土石流",柯主委天爽,5834883,否,否,是
578,高雄市左營區,?南里,海平路2號,120.291964,22.688899,?後北極殿,?南里,30,"水災,震災,土石流,海嘯",薛主委清正,5827102,是,否,是
580,高雄市左營區,進學里,左營大路479號8樓,120.29511,22.689882,左營區公所8樓大禮堂,尾南、尾北、尾西、聖南里小型災害優先開設,20,"水災,震災,土石流",區公所災民避難收容業務承辦人,5831115,是,否,是
582,高雄市左營區,進學里,高雄市左營區實踐路42號,120.293299,22.690488,高雄市左營區左營國民小學,進學里、尾西里、尾南里、明建里,745,"水災,震災,土石流,海嘯",曹玉鳳總務主任,5820042#731,是,否,否
586,高雄市大樹區,檨腳里,中興北路120號,120.4331,22.6933,大樹區公所二樓會議室,興山、和山、檨腳、大樹、龍目、小坪里,30,"水災,震災,土石流,海嘯",張簡宥榛,911111111,是,否,是
587,屏東縣長治鄉,德成村,中興路578號,120.5437,22.6934,長治國中,崙上村、德協村、復興村、德成村,200,"水災,震災,土石流,海嘯",鍾冬玉,7621193,是,否,是
588,高雄市左營區,進學里,海功路55號,120.296158,22.693416,高雄市立左營高級中學,進學里,200,"水災,震災,土石流,海嘯",蔡主任忍昭,5822010#301,是,否,是
589,屏東縣長治鄉,德成村,中興路551號,120.5415,22.6941,德協國小,德榮村.德和村,200,"水災,震災,土石流,海嘯",劉富連,7621844,是,否,是
590,屏東縣三地門鄉,大社村,和平路2段35號,120.637733,22.694157,大社村辦公處含活動中心,大社村,200,"水災,震災,土石流",侯虎雄,912024772,是,是,是
591,高雄市大樹區,小坪里,忠義路1號,120.3941,22.6942,高雄東照山關帝廟備用,全區調度備用,300,"水災,震災,土石流,海嘯",吳進財,3710981、3758030,是,否,是
593,高雄市左營區,菜公里,復興新村335號,120.299673,22.69567,復興永清里活動中心,永清、屏山里,150,"水災,震災,土石流,海嘯",黃耀慶,5831111#38,是,否,是
594,高雄市左營區,祥和里,左營大路928巷101號,120.301803,22.69635,祥和山莊活動中心,祥和里,100,"水災,震災,土石流,海嘯",劉里長德文,5851536,是,否,是
606,屏東縣長治鄉,德成村,水源路96號,120.5722,22.7026,繁華國小,繁華村、繁昌村、繁榮村、繁隆村、榮華村,200,"水災,震災,土石流,海嘯",鄭國卿,7621254,是,否,是
610,屏東縣瑪家鄉,三和村,1鄰6-3號,120.6089,22.7036,玉泉社區活動中心,玉泉社區,200,"水災,土石流",董賢明,983379985,是,否,是
611,高雄市仁武區,仁武里,仁祥街199號,120.3447169,22.70434779,仁武里活動中心,仁武里.後安里.竹後里,500,"水災,震災,土石流,海嘯",社會課災民收容業務承辦人,3751472,是,否,是
621,高雄市左營區,光輝里,後昌路842號,120.295275,22.711558,高雄市左營區莒光國民小學,光輝、莒光里,20,"水災,震災,土石流,海嘯",柯旭升,3612078#133,是,否,是
629,臺東縣臺東市,建和里,青海路3段640號,121.049167,22.716736,臺東縣臺東市建和國小,建和里,125,"水災,震災,土石流,海嘯",總務組楊主任宏業,512381-203,是,是,否
634,高雄市大社區,中里里,文明路10巷3號,120.3513,22.7226,中里社區活動中心,中里里、觀音里,70,"水災,震災,土石流,海嘯",王佐楷,3512410,是,否,是
643,高雄市梓官區,智蚵里,中正二街60號,120.25873,22.728551,高雄市立蚵寮國民中學（備用）,全區,400,"水災,震災,土石流",林碧真主任,6172831轉31,是,否,是
645,高雄市大社區,神農里,金龍路65號,120.3546,22.7293,大社老人文康中心,觀音里、神農里、翠屏里,200,"水災,震災,土石流,海嘯",柯金雀,3541509,是,否,是
648,高雄市梓官區,信蚵里,廣澤路3號,120.254588,22.729634,智信蚵社區聯合活動中心（備用）,全區,150,水災,黃信長,6101938,是,否,是
651,臺東縣臺東市,豐里里,豐里街756巷20號,121.116004,22.732187,豐里社區活動中心,豐里里、豐原里、豐谷里、豐榮里,27,"水災,土石流",理事長 鄭彼得,932535408,是,否,否
653,高雄市梓官區,禮蚵里,光明路177號,120.248239,22.733411,高雄市梓官區蚵寮國民小學（備用）,全區,300,水災,陳冠宏主任,6101044（O）6178741（H）,是,否,是
655,高雄市大社區,保安里,大社路87-3號,120.3527,22.7341,保安里活動中心,保安里、大社里、保社里、嘉誠里,80,"水災,震災,土石流,海嘯",林義萬,3512622,是,否,是
657,高雄市梓官區,赤東里,中正路519號,120.25016,22.736052,赤崁老人活動中心（備用）,全區,160,水災,陳怡安,7991213,是,否,是
665,屏東縣三地門鄉,賽嘉村,賽嘉巷1號,120.640299,22.743817,賽嘉村辦公處含活動中心,賽嘉村,150,"水災,震災,土石流",董清吉,918382731,是,是,是
668,屏東縣霧臺鄉,霧台村,中山巷46-3號,120.7321,22.745,霧台社區活動中心,全鄉,60,"水災,震災,土石流",柯秋美,932882784,是,否,是
671,高雄市大樹區,興田里,興田路153號,120.4463,22.7473,佛光山寺備用,全區調度備用,500,"水災,震災,土石流,海嘯",林利國主任,6561921#1214，1217，1218,是,否,是
673,屏東縣霧臺鄉,霧台村,神山社區,120.719513,22.750455,神山社區活動中心運動場,神山社區,200,震災,賴松忠,921579026,否,是,是
674,高雄市橋頭區,仕隆里,仕隆路進校巷16號,120.310636,22.750578,高雄市橋頭區仕隆國民小學,仕隆里、新莊里,1343,"震災,海嘯,坡地災害",李月娥主任,6113517#40,否,否,否
679,高雄市燕巢區,鳳雄里,鳳旗路23號,120.3602,22.7555,鳳雄營區,如需進行異地收容安置方才啟用，視情況調度收容對象,900,"水災,震災,土石流,海嘯",社會局救助科-林宗德股長,3368333轉2063,是,否,是
680,高雄市梓官區,梓平里,梓官路城隍巷123-1號,120.269167,22.756467,梓平社區活動中心（備用）,全區,100,"水災,海嘯",蔡焙璋,6177270,是,否,是
682,高雄市橋頭區,橋頭里,隆豐路1號,120.3058,22.7576,橋頭區公所,仕和里、仕隆里、仕豐里、橋南里,150,"水災,震災,土石流,海嘯",史鎮維,6110246轉123,是,否,是
684,高雄市梓官區,梓和里,大宅街38號,120.266109,22.759573,梓和社區活動中心（備用）,全區,80,水災,陳金榮,6101632,是,否,是
686,高雄市梓官區,梓和里,進學路614號,120.264756,22.760292,梓官國小（備用）,全區,400,水災,郭啟鴻主任,6176595（O）3893355（H）,是,否,是
690,高雄市橋頭區,橋頭里,樹德路200號,120.305864,22.761764,高雄市橋頭區橋頭國民小學,白樹里、中崎里、筆秀里、德松里、橋頭里,1105,"水災,震災,土石流,海嘯",孫明輝,6126011-41,否,否,是
700,屏東縣三地門鄉,口社村,信義巷1號,120.647735,22.76925,口社村辦公處含活動中心,口社村,100,"水災,震災,土石流",高玉金,981488861,是,是,是
704,臺東縣臺東市,南榮里,更生路 1010 號,121.132093,22.772402,行政院國軍退除役官兵輔導委員會馬蘭榮譽國民之家,臺東縣,10,,許念祖,222417,否,否,否
705,高雄市旗山區,南勝里,旗南三路234號,120.4417,22.7737,嶺口營區,如需異地收容安置方才啟用，視情況調度收容對象,700,"水災,震災,土石流,海嘯",社會局救助科-林宗德股長,3368333轉2063,是,否,是
709,高雄市旗山區,南勝里,龍文巷30號之3,120.4488,22.7768,南勝社區活動中心備用,南勝里（嶺口地區）,30,水災,南勝里長 蘇國泰,6651182、0910848955,是,否,是
718,高雄市岡山區,和平里,和平路1號,120.303827,22.782054,高雄市岡山區和平國民小學,依需求全區調度,567,"水災,震災,土石流,海嘯",蘇俊玉,6254220轉40,是,否,否
720,高雄市燕巢區,南燕里,中興路427號,120.362246,22.782475,燕巢區民眾活動中心,全區（優先開設）,120,"水災,震災,土石流,海嘯",莊萬榮,6161411轉178,是,否,是
724,高雄市燕巢區,南燕里,中興路267號,120.362845,22.785833,高雄市立燕巢國民中學（備用）,南燕里、角宿里,400,"水災,震災,土石流,海嘯",總務主任陳宏成,6164290,是,否,是
727,高雄市燕巢區,安招里,中安路1號,120.362079,22.78808,燕巢區公所禮堂,全區（第二優先）,100,"水災,震災,土石流,海嘯",燕巢區公所陳玉寀,6161411轉178,是,否,是
731,高雄市燕巢區,南燕里,中西路1號,120.3598,22.79,金陵營區,如需進行異地收容安置方才啟用，視情況調度收容對象,500,"水災,震災,土石流,海嘯",社會局救助科-林宗德股長,3368333轉2063,是,否,是
735,高雄市岡山區,平安里,柳橋東路36號,120.293671,22.791424,高雄市岡山區岡山國民小學,岡山全區民眾,200,,徐淑嘉,918736006,否,否,否
747,高雄市燕巢區,瓊林里,成功路1 號,120.3288,22.7993,岡山榮譽國民之家,特殊需照料之弱勢災民，如洗腎患者及其家屬,50,"水災,震災,土石流,海嘯",社會局救助科-林宗德股長,3368333轉2063,是,否,是
748,高雄市永安區,維新里,維新路光明9巷69之10號,120.2479631,22.80403364,高雄市永安區維新國民小學,維新里,50,"水災,震災,土石流,海嘯",丁裕哲,6913816202,否,否,是
749,高雄市燕巢區,金山里,番田路29號,120.398079,22.811802,高雄市燕巢區金山國民小學（備用）,金山里,50,"水災,震災,土石流,海嘯",總務主任許馨瑩,6164328741,是,否,是
757,高雄市永安區,新港里,新興路25號,120.2092311,22.82114749,高雄市永安區新港國民小學,新港里,50,"水災,震災",江美田,6912040,否,否,是
760,高雄市岡山區,嘉興里,嘉興路322號,120.305292,22.821597,高雄市岡山區嘉興國民小學,依需求全區調度,1796,"水災,震災,土石流,海嘯",莊鳳茹,6212414,是,否,否
761,高雄市永安區,保寧里,保興一路3號,120.240646,22.823171,高雄市立永安國民中學,保寧里,120,"水災,震災",蔡惠芳,6912064,是,否,是
762,高雄市路竹區,北嶺里,民治路85號,120.269765,22.823505,高雄市路竹區北嶺國民小學,北嶺里,418,"水災,震災,土石流,海嘯",黃暐睿主任,6964786#40,是,否,否
765,高雄市岡山區,華崗里,大埔二街170號,120.322418,22.824142,高雄市岡山區華崗社區活動中心,華崗里土石流避難收容所,100,土石流,楊明福,6281955,是,否,是
767,臺東縣卑南鄉,美農村,美農村8鄰東成36號,121.093361,22.830504,美農村活動中心,美農村,30,,鄭裕琪,（089）571054,否,否,否
768,高雄市永安區,永安里,新興路99號,120.208428,22.833587,高雄市永安區鹽田社區活動中心,鹽田里,40,"水災,震災,土石流,海嘯",陳賢民,915678353,否,否,是
769,高雄市田寮區,新興里,大新路2號,120.369769,22.835015,高雄市田寮區新興國民小學,新興里,50,"水災,震災,土石流,海嘯",總務處郭淑娟,638134850,是,否,是
770,高雄市旗山區,新光里,新南巷5號,120.4605,22.8354,大洲國中備用,新光里、南洲里、中洲里、大山里、鯤洲里、上洲里、中寮里,60,"水災,震災",總務主任何建輝,666137850,是,否,是
772,高雄市路竹區,三爺里,民權路7號,120.2801,22.8368,高雄市立路竹區三埤國民小學,三爺里,360,"水災,震災,土石流,海嘯",陳文賢主任,6962688#50,是,否,是
774,屏東縣三地門鄉,青葉村,光復巷73-3號,120.638444,22.838158,青葉村辦公處含活動中心,青葉村,60,"水災,震災,土石流",賴立誠,913091852,是,是,是
775,高雄市旗山區,大山里,南二路126號,120.465528,22.847646,高雄市旗山區溪洲國民小學（備用）,大山里、鯤洲里、上洲里、新光里、南洲里、中洲里、中寮里,30,"水災,震災",楊頌平主任,6616100,是,否,是
777,高雄市旗山區,南勝里,?和巷10號,120.4734,22.8489,合天大道院,南勝里,100,水災,明慧法師,6663961、6663960、0975309223,是,否,是
779,高雄市旗山區,鯤洲里,鯤洲街35-1號,120.476208,22.84953,鯤洲社區多功能活動中心,大山里、鯤洲里、上洲里、新光里,80,"水災,震災,土石流,海嘯",鯤洲里長柯文化,911719729,否,否,是
782,高雄市路竹區,文南里,中華路292號,120.25221,22.855385,高雄市立路竹高級中學,文南里、後鄉里,2144,"水災,震災,土石流,海嘯",洪藝芬主任,6963008#140,是,否,否
783,高雄市旗山區,上洲里,後角街2之4號,120.4735,22.8565,上洲社區活動中心,大山里、鯤洲里、上洲里、新光里、南洲里、中洲里、中寮里,50,水災,上洲里幹事王培沂,6663279、0921208608,是,否,是
784,高雄市旗山區,廣福里,旗屏二路16號,120.5049,22.8575,廣福社區活動中心,廣福里,30,水災,理事長陳楊華枝,6613335、0932738714,是,否,是
787,高雄市路竹區,文北里,國昌路548號,120.256002,22.861515,高雄市路竹區蔡文國民小學,文北里、竹西里、竹東里,1611,"水災,震災,土石流,海嘯",李安世主任,6076268#40,是,否,否
788,高雄市路竹區,竹滬里,成功路2號,120.2304,22.8625,高雄市立路竹區竹滬國民小學,竹滬里、頂寮里、新達里,495,"水災,震災,土石流,海嘯",林怡君組長,6981516#40,是,否,是
789,高雄市路竹區,竹南里,中山路712巷16號,120.230427,22.862524,高雄市路竹區路竹國民小學,竹南里,1806,"水災,震災,土石流,海嘯",鍾德欣主任,6962128#840,是,否,否
793,高雄市路竹區,社西里,大社路243號,120.265351,22.867067,高雄市路竹區大社國民小學,社西里、社中里、社南里,1134,"水災,震災,土石流,海嘯",孫瑞陽主任,6962254#241,是,否,否
794,高雄市路竹區,甲南里,一甲路111號,120.271882,22.868822,高雄市立一甲國民中學學生,甲南里、社東里、下坑里、竹園里,300,"水災,震災,土石流,海嘯",吳輝徹主任,6977479#32,是,否,是
795,高雄市路竹區,下坑里,太平路384號,120.2908,22.8691,高雄市立路竹區下坑國民小學備用,下坑里、竹園里備用,436,"震災,土石流,海嘯",謝尚暾組長,6951015#40,是,否,是
800,高雄市田寮區,崇德里,崇德路101號,120.379682,22.877635,高雄市田寮區崇德國民小學,崇德里、西德里,50,"水災,震災,土石流,海嘯",總務處李建德,636715540,否,否,是
802,臺東縣東河鄉,都蘭村,431號,121.226932,22.877955,都蘭國小,都蘭村,215,土石流,鄭美雪總務主任,（089）531224,否,否,否
803,高雄市湖內區,湖東里,民生街252號,120.246231,22.878344,湖東社區活動中心,湖東,50,"水災,震災,土石流,海嘯",許順加,6931528,否,否,否
804,高雄市六龜區,新寮里,三民路14號,120.6145,22.8806,新寮社區活動中心,新寮里,100,"水災,震災,土石流,海嘯",新寮里長朱玉雲,6872339,是,否,是
806,高雄市美濃區,福安里,中正路二段358號,120.533938,22.882868,高雄市美濃區福安國民小學,福安里短期避難,740,"水災,震災,土石流,海嘯,核子事故,坡地災害",福安國小,76812514,否,否,否
811,高雄市旗山區,太平里,德義街17-1號,120.4784,22.8847,靈山寺,湄洲、瑞吉、三協及區內災民,100,"水災,震災",管理人游茂己,6612715、0912710835,是,否,是
818,高雄市旗山區,湄洲里,華中街44號,120.480651,22.888297,高雄市其山區旗山國小（備用）,各里,80,"水災,震災",總務主任呂昭伶,6612052#103,是,否,是
822,高雄市六龜區,大津里,大津34號,120.6471,22.889,大津登山訓練中心,大津里,100,"水災,震災,土石流,海嘯",大津里長李淑華,6801102,是,否,是
823,高雄市旗山區,湄洲里,文中路4號,120.4811,22.8898,湄州里活動中心,大德里、湄洲里、三協里、東平里、東昌里及區內災民,50,"水災,震災",湄洲里幹事王瑞鳳,6626510/0933661325,是,否,是
825,高雄市旗山區,竹峰里,義德街31巷1之1號,120.4786,22.8912,竹峰里辦公處,各里別,30,水災,竹峰里長楊麗玉,6622059、0933375380,是,否,是
826,高雄市六龜區,大津里,大津49號,120.647154,22.891873,大津社區活動中心,大津里,100,"水災,震災,土石流",李淑華里長,6801175,否,否,否
827,臺東縣延平鄉,紅葉村,臺東縣延平鄉紅葉村1鄰16號,121.063062,22.893619,紅葉村活動中心,紅葉村,30,"水災,震災,土石流,海嘯",馮祖寧,89561095,是,否,是
828,高雄市田寮區,古亭里,古亭路廟後巷2號,120.4023526,22.89410114,古亭社區活動中心,鹿埔里、古亭里,70,"水災,震災,土石流,海嘯",許振發,6367302,是,否,是
829,高雄市湖內區,海山里,和平路115號,120.2234,22.8944,台灣基督長老教會海埔教會,海山、海埔、劉家,100,"水災,震災,土石流,海嘯",黃詩雅,6993089,是,否,是
831,高雄市美濃區,合和里,中正路一段191號,120.5435,22.894745,高雄市立美濃國民中學,合和里,9363,"水災,震災,土石流,海嘯",劉文裕,975018933,是,否,是
835,臺東縣延平鄉,鸞山村,臺東縣延平鄉鸞山村1鄰16號,121.151603,22.899002,鸞山村活動中心,鸞山村,30,"水災,震災,土石流,海嘯",林?永,89568057,是,否,是
839,高雄市旗山區,永和里,旗文路125之5號,120.4782,22.9006,永和社區活動中心備用,各里,50,水災,理事長鄭榮貴,6618676、0910371752,是,否,是
841,臺東縣延平鄉,桃源村,臺東縣延平鄉桃源村4鄰78號,121.084336,22.902922,桃源村活動中心,桃源村,50,"水災,震災,土石流,海嘯,坡地災害",鄭宏宗,8956148,是,否,是
847,高雄市茄萣區,白雲里,濱海路四段27號,120.1825,22.9065,茄萣區公所大禮堂,嘉賜里、嘉安里、嘉樂里、嘉泰里、嘉福里、和協里,120,水災,社會課長林勝賢 /承辦人廖婉吟,6900001轉130/131,是,否,是
852,高雄市湖內區,太爺里,中山路二段63號,120.227397,22.907722,高雄市立湖內國民中學,太爺里,100,"水災,震災,土石流,海嘯",史榮美,6993008轉32,是,否,否
853,高雄市美濃區,中圳里,福美路73巷8號,120.547647,22.908018,中圳社區活動中心,福安、中圳、瀰濃,80,"水災,震災,土石流,海嘯",里長林享達,6814105,是,否,否
854,高雄市湖內區,中賢里,中正路二段79號,120.2129,22.9091,中正堂二樓,文賢、忠興、中賢、逸賢,100,"水災,震災,土石流,海嘯",社會課承辦人徐鳳嫺,932837411,是,否,是
856,高雄市茄萣區,白雲里,公園路81號,120.1851,22.9096,白雲社區活動中心,福德里、萬福里、白雲里,120,"水災,海嘯",社會課長林勝賢/承辦人廖婉吟,6900001轉130/131,是,否,是
867,高雄市內門區,觀亭里,中正路203號,120.453734,22.918343,高雄市內門區觀亭國民小學,觀亭、中埔、內南、瑞山等里,60,"水災,海嘯",李博文,6671672,是,否,否
868,高雄市內門區,內東里,柿子園24號,120.426716,22.918619,高雄市內門區西門國民小學,內東里,70,水災,陳奇逸,6672077#13,是,否,否
869,高雄市內門區,觀亭里,中正路160巷30號,120.453517,22.921882,高雄市立內門國民中學,觀亭、中埔、內東、內南、瑞山,80,"水災,震災",劉俊宏,6671002#31,是,否,否
870,高雄市旗山區,中正里,華山路11號,120.5039,22.9266,華山營區,如需進行異地收容安置方才啟用，視情況調度收容對象,100,"水災,震災,土石流,海嘯",社會局救助科-林宗德股長,3368333轉2063,是,否,是
872,臺東縣延平鄉,永康村,臺東縣延平鄉永康村2鄰43號,121.115208,22.927897,永康村鄉立幼兒園,永康村,50,"水災,震災,土石流,海嘯",蔡子旋,89561244,是,否,是
881,高雄市旗山區,中正里,旗甲路三段177巷1號,120.5022,22.9329,中正社區活動中心,中正里、圓富里、大林里,30,水災,中正里長郭舜明,6693457、0928707199,是,否,是
885,高雄市內門區,內豊里,內埔82號,120.4613,22.9417,南海紫竹寺香客大樓,內門里、內豐里、光興里、東埔里、石坑里,200,"水災,震災,土石流,海嘯",胡森焜,6671400,是,否,是
888,高雄市杉林區,月美里,桐竹路241號,120.528674,22.948034,月美社區活動中心,月美里,20,"水災,震災,土石流,海嘯",劉永光,972000623,是,否,是
890,臺東縣鹿野鄉,瑞隆村,10鄰佑民路7號,121.1562,22.955,瑞源社區活動中心,瑞源村,30,"水災,震災,土石流,海嘯",劉進金,920910489,是,是,是
892,高雄市內門區,永富里,萊坑8號,120.4942,22.956,永富社區活動中心景義國小,永富里,120,"水災,震災,土石流,海嘯",陳明上,6601979,是,否,是
893,高雄市內門區,內豊里,內埔24號,120.470326,22.956009,高雄市內門區內門國民小學,內豊、光興、內門、石坑、東埔等里,100,"水災,海嘯",黃心怡,6672078#250,是,否,否
898,高雄市旗山區,大林里,自強巷17號,120.5147,22.9591,大林社區活動中心備用,大林,30,水災,大林里長莊柏松,6691226、0937636150,是,否,是
907,高雄市杉林區,月眉里,和氣街15號,120.538829,22.963823,高雄市杉林區大愛民族國民小學,大愛里,200,"水災,震災",校長張新榮,6771340232,是,否,是
913,高雄市杉林區,大愛里,大愛路47號,120.545574,22.966082,大愛活動中心,全區大愛里優先收容,100,"水災,震災,土石流",鍾區長炳光,6771340,是,否,是
914,高雄市杉林區,月眉里,清水路朝雲巷10號,120.5354386,22.96649744,月眉社區活動中心,月眉里,20,"水災,震災,土石流,海嘯",徐松榮,6771241,是,否,是
918,高雄市杉林區,上平里,山仙路152巷14號,120.557561,22.96796903,上平社區活動中心,上平里,20,"水災,震災,土石流,海嘯",張欽賢,919629466,是,否,是
925,臺東縣延平鄉,武陵村,臺東縣延平鄉武陵村1鄰15號,121.117842,22.969833,武陵村活動中心,武陵村,30,"水災,震災,土石流,海嘯",蔡子旋,89551764,是,否,是
932,高雄市內門區,木柵里,木柵3號,120.467861,22.975346,高雄市內門區木柵國民小學,三平、木柵、內興等里,300,"水災,震災",李清正,6681183,是,否,否
941,高雄市內門區,永吉里,新生5號,120.498,22.9774,永吉社區活動中心,溝坪、永吉、永興,50,"水災,震災,土石流,海嘯",林永凌,6602048,是,否,是
943,高雄市內門區,木柵里,木柵30-1號,120.4677,22.978,木柵社區活動中心,木柵里、三平里、內興里,50,"水災,震災,土石流,海嘯",郭存典,6681266,是,否,是
961,臺南市中西區,仙草里,府緯街4巷6號,120.1995,22.9844,臺南市中西區仙草里活動中心,仙草里,200,水災,曾俊仁,927612288,是,否,是
970,高雄市杉林區,新庄里,司馬路52號,120.563198,22.98792,新和社區舊圖書室,集來里、新庄里,30,"水災,震災,土石流,海嘯",賴春義,976067741,是,否,是
973,臺南市中西區,郡西里,郡西路35號2樓,120.194075,22.989445,臺南市中西區郡西里活動中心,郡西里,320,水災,陳余櫻柳,932866855,是,否,是
979,臺南市中西區,永福里,府前路一段258號,120.2008,22.9901,臺南市中西區永福小西三民里活動中心,永福里、小西里、三民里,240,水災,陳弘烈,918636187,是,否,是
981,臺南市中西區,民生里,保安路201之1號1樓,120.1913,22.9912,臺南市中西區中頭社區活動中心,民生里,100,水災,陳錦源,929767263,是,否,是
989,高雄市內門區,溝坪里,廣福47號,120.501231,22.993331,高雄市內門區溝坪國民小學,溝坪、永興、永吉等里,200,"水災,震災,土石流,海嘯",陳易霖,6601788#30,是,否,否
991,臺南市中西區,大涼里,府前路二段258巷55號,120.1908,22.9936,臺南市中西區大涼社區活動中心,大涼里,130,水災,侯福成,932715721,是,否,是
992,高雄市六龜區,中興里,中庄193號,120.644983,22.993875,高雄市六龜區龍興國民小學,中興里,60,"水災,震災,土石流",吳宜軒,3218216,否,否,否
1000,高雄市六龜區,義寶里,光復路102號,120.6349,22.9955,六龜綜合社會福利服務中心,文武里土石流潛勢溪流保全住戶及義寶里易淹水地區,120,"水災,震災,土石流,海嘯",林江東里長,6891725,是,否,是
1016,高雄市杉林區,新庄里,司馬路384巷5號,120.574128,22.999381,新和社區活動中心,新庄里,30,"水災,震災,土石流,海嘯",賴春義,6774013,是,否,是
1028,高雄市杉林區,杉林里,合森巷109號,120.552286,23.00041918,杉林社區活動中心,杉林,30,"水災,震災,土石流,海嘯",江明成,939723777,是,否,是
